Rank,University_Name,State,University_Type,Year,SS_Score,TOTAL FACULTY,UG4_2023-24,UG4_2022-23,UG4_2021-22,UG4_2020-21,UG4_2019-20,UG4_2018-19,UG5_2023-24,UG5_2022-23,UG5_2021-22,UG5_2020-21,UG5_2019-20,UG5_2018-19,PG2_2023-24,PG2_2022-23,PG2_2021-22,PG2_2020-21,PG2_2019-20,PG2_2018-19,PG3_2023-24,PG3_2022-23,PG3_2021-22,PG3_2020-21,PG3_2019-20,PG3_2018-19,PG_INTEGRATED_2023-24,PG_INTEGRATED_2022-23,PG_INTEGRATED_2021-22,PG_INTEGRATED_2020-21,PG_INTEGRATED_2019-20,PG_INTEGRATED_2018-19,TOTAL_SANCTIONED (Incl UG + PG),NE_UG4_Male,NE_UG4_Female,NE_UG4_Total,NE_UG4_WithinState,NE_UG4_OutsideState,NE_UG4_OutsideCountry,NE_UG4_EconomicallyBackward,NE_UG4_SociallyChallenged,NE_UG4_FeeReimb_State,NE_UG4_FeeReimb_Institute,NE_UG4_FeeReimb_Private,NE_UG4_NoFullReimb,NE_UG5_Male,NE_UG5_Female,NE_UG5_Total,NE_UG5_WithinState,NE_UG5_OutsideState,NE_UG5_OutsideCountry,NE_UG5_EconomicallyBackward,NE_UG5_SociallyChallenged,NE_UG5_FeeReimb_State,NE_UG5_FeeReimb_Institute,NE_UG5_FeeReimb_Private,NE_UG5_NoFullReimb,NE_PG2_Male,NE_PG2_Female,NE_PG2_Total,NE_PG2_WithinState,NE_PG2_OutsideState,NE_PG2_OutsideCountry,NE_PG2_EconomicallyBackward,NE_PG2_SociallyChallenged,NE_PG2_FeeReimb_State,NE_PG2_FeeReimb_Institute,NE_PG2_FeeReimb_Private,NE_PG2_NoFullReimb,NE_PG3_Male,NE_PG3_Female,NE_PG3_Total,NE_PG3_WithinState,NE_PG3_OutsideState,NE_PG3_OutsideCountry,NE_PG3_EconomicallyBackward,NE_PG3_SociallyChallenged,NE_PG3_FeeReimb_State,NE_PG3_FeeReimb_Institute,NE_PG3_FeeReimb_Private,NE_PG3_NoFullReimb,NE_PG_INTEGRATED_Male,NE_PG_INTEGRATED_Female,NE_PG_INTEGRATED_Total,NE_PG_INTEGRATED_WithinState,NE_PG_INTEGRATED_OutsideState,NE_PG_INTEGRATED_OutsideCountry,NE_PG_INTEGRATED_EconomicallyBackward,NE_PG_INTEGRATED_SociallyChallenged,NE_PG_INTEGRATED_FeeReimb_State,NE_PG_INTEGRATED_FeeReimb_Institute,NE_PG_INTEGRATED_FeeReimb_Private,NE_PG_INTEGRATED_NoFullReimb,TOTAL_ENROLLED,PhD_Grad_FT_2023-24,PhD_Grad_PT_2023-24,TOTAL_PHD_PURSUING,NT_UG4_total,NT_UG5_total,NT_PG2_total,NT_PG3_total,NT_PG_INTEGRATED_total,NT_total,NE_total,Occupancy,Female_total,OutsideState_total,OutsideCountry_total,EWS_total,SCSTOBC_total,FeeReimb_total,Female_ratio,Outside_state_ratio,International_ratio,EWS_ratio,SCSTOBC_ratio,FeeReimb_ratio,NP_total
86,"National Institute of Technology, Raipur",Raipur,Central,2025,13.82,272,1119,1119,1118,1118,0,0,0,0,0,0,0,0,156,187,0,0,0,0,19,19,19,0,0,0,0,0,0,0,0,0,4874,3266,890,4156,2093,2057,6,761,2269,0,2379,0,651,0,0,0,0,0,0,0,0,0.0,0,0,0,124,61,185,128,57,0,20,108,0,45,0,83,0,0,0,0,0,0,0,0,0,0,0,0,33,21,54,12,42,0,10,35,0,11,0,34,4395,437,221,658,4474,0,343,57,0,4874,4395,0.9017234304472712,972,2156,6,791,2412,2435.0,0.221160409556314,0.4905574516496018,0.0013651877133105802,0.1799772468714448,0.5488054607508532,0.5540386803185438,658
87,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Deemed,2025,15.5,674,2364,2364,2220,2220,0,0,0,0,0,0,0,0,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,7524,1938,9462,1314,8029,119,1229,2393,0,2564,0,1058,0,0,0,0,0,0,0,0,0.0,0,0,0,178,38,216,166,50,0,0,186,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9678,179,407,586,9168,0,432,0,0,9600,9678,1.008125,1976,8079,119,1229,2579,2564.0,0.20417441620169458,0.8347799132052077,0.012295928910932011,0.12698904732382724,0.2664806778259971,0.26493077082041744,586
88,AU College of Engineering (A),Visakhapatnam,State,2025,11.5,262,546,530,530,530,0,0,0,0,0,0,0,0,502,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3148,965,1171,2136,455,1388,293,467,1582,1039,943,67,0,0,0,0,0,0,0,0,0,0.0,0,0,0,474,538,1012,575,405,32,101,754,685,88,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3148,97,41,138,2136,0,1012,0,0,3148,3148,1.0,1709,1793,325,568,2336,2863.0,0.5428843710292249,0.5695679796696315,0.10324015247776366,0.18043202033036848,0.7420584498094028,0.9094663278271918,138
89,Chitkara University,Rajpura,Private,2025,13.34,519,2670,2790,2400,2040,0,0,0,0,0,0,0,0,25,45,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,9985,4920,3420,8340,1988,6338,14,0,609,1,586,0,22,0,0,0,0,0,0,0,0,0.0,0,0,0,24,13,37,17,19,1,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,7,1,0,0,0,0,0,0,0,8385,125,178,303,9900,0,70,15,0,9985,8385,0.8397596394591887,3435,6358,15,0,632,610.0,0.40966010733452596,0.7582587954680978,0.0017889087656529517,0.0,0.0753726893261777,0.0727489564698867,303
90,COEP Technological University,Pune,State,2025,14.0,236,773,713,570,570,0,0,0,0,0,0,0,0,570,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3682,2485,984,3469,3174,161,134,278,1607,1379,342,164,0,0,0,0,0,0,0,0,0,0.0,0,0,0,414,157,571,537,34,0,30,297,261,2,20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040,103,185,288,2626,0,1056,0,0,3682,4040,1.0972297664312873,1141,195,134,308,1904,2168.0,0.2824257425742574,0.04826732673267327,0.03316831683168317,0.07623762376237624,0.47128712871287126,0.5366336633663367,288
91,SR University,Warangal,Private,2025,16.5,360,1590,1080,1080,1080,0,0,0,0,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5022,2456,2413,4869,3356,1477,36,909,2981,1727,1161,107,895,0,0,0,0,0,0,0,0,0.0,0,0,0,92,88,180,99,54,27,34,63,29,50,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5049,333,122,455,4830,0,192,0,0,5022,5049,1.0053763440860215,2501,1531,63,943,3044,3082.0,0.4953456129926718,0.30322836205189146,0.012477718360071301,0.18676965735789267,0.6028916617151912,0.6104179045355516,455
92,Defence Institute of Advanced Technology,Pune,Central,2025,3.78,63,0,0,0,0,0,0,0,0,0,0,0,0,478,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,348,89,437,102,335,0,19,168,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,75,91,166,0,0,944,0,0,944,437,0.4629237288135593,89,335,0,19,168,187.0,0.2036613272311213,0.7665903890160183,0.0,0.043478260869565216,0.38443935926773454,0.4279176201372998,166
93,Panjab University,Chandigarh,State,2025,11.22,143,698,698,698,698,0,0,36,36,36,36,55,0,222,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3435,2124,585,2709,331,2369,9,97,548,227,238,81,99,95,27,122,15,107,0,10,24,13.0,6,7,8,100,84,184,18,166,0,0,36,12,8,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015,153,0,153,2792,199,444,0,0,3435,3015,0.8777292576419214,696,2642,9,107,608,594.0,0.2308457711442786,0.876285240464345,0.0029850746268656717,0.03548922056384743,0.20165837479270315,0.19701492537313434,153
94,Jawaharlal Nehru Technological University,Hyderabad,State,2025,15.5,501,1620,1620,1375,1307,0,0,0,0,0,0,0,0,720,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7362,2901,3021,5922,3720,1777,425,710,5212,5235,0,603,84,0,0,0,0,0,0,0,0,0.0,0,0,0,705,735,1440,1012,403,25,152,1288,1402,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7362,101,216,317,5922,0,1440,0,0,7362,7362,1.0,3756,2180,450,862,6500,7278.0,0.5101874490627547,0.2961151860907362,0.061124694376528114,0.11708774789459386,0.8829122521054061,0.9885900570497147,317
95,"C.V. Raman Global University, Odisha",Bhubaneswar,Private,2025,16.5,451,1050,1050,1440,1320,0,0,0,0,0,0,0,0,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5124,2590,2388,4978,1665,3059,254,2590,1138,870,645,598,1615,0,0,0,0,0,0,0,0,0.0,0,0,0,138,126,264,112,126,26,118,47,61,32,37,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5242,265,51,316,4860,0,264,0,0,5124,5242,1.0230288836846213,2514,3185,280,2708,1185,2243.0,0.47958794353300266,0.6075925219381916,0.0534147272033575,0.5165967188096147,0.2260587561999237,0.42789011827546736,316
96,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Central,2025,8.02,78,172,76,74,74,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,96,120,119,119,119,0,1069,324,71,395,28,340,27,46,175,92,14,4,111,0,0,0,0,0,0,0,0,0.0,0,0,0,33,9,42,10,32,0,9,14,0,14,2,7,0,0,0,0,0,0,0,0,0,0,0,0,470,94,564,73,484,7,74,268,156,26,17,143,1001,67,38,105,396,0,100,0,573,1069,1001,0.9363891487371375,174,856,34,129,457,325.0,0.17382617382617382,0.8551448551448552,0.03396603396603397,0.12887112887112886,0.4565434565434565,0.3246753246753247,105
97,National Institute of Technology Hamirpur,Hamirpur,Central,2025,13.0,237,830,830,830,830,0,0,0,0,0,0,0,0,342,450,0,0,0,0,0,0,0,0,0,0,56,56,56,56,151,0,4487,2536,757,3293,1543,1728,22,529,2025,277,1600,73,604,0,0,0,0,0,0,0,0,0.0,0,0,0,350,96,446,251,195,0,52,219,84,145,0,42,0,0,0,0,0,0,0,0,0,0,0,0,292,82,374,180,193,1,46,185,23,115,14,79,4113,224,48,272,3320,0,792,0,375,4487,4113,0.9166480944952083,935,2116,23,627,2429,2331.0,0.22732798443958183,0.5144663262825189,0.0055920252856795525,0.15244347191830782,0.5905664964745928,0.5667396061269147,272
98,Pandit Deendayal Energy University,GandhiNagar,Private,2025,15.5,332,1260,1260,1200,1080,0,0,0,0,0,0,0,0,234,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5268,4264,897,5161,4617,343,201,47,680,514,213,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,199,57,256,219,29,8,2,53,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5417,103,113,216,4800,0,468,0,0,5268,5417,1.0282839787395597,954,372,209,49,733,730.0,0.17611223924681557,0.068672697064796,0.038582241092855823,0.00904559719401883,0.13531474986154698,0.13476093778844378,216
99,National Institute of Technology Puducherry,Karaikal,Govt,2025,8.68,76,275,275,240,240,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,723,257,980,358,581,41,286,635,211,542,51,117,0,0,0,0,0,0,0,0,0.0,0,0,0,18,8,26,0,26,0,10,16,4,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,176,81,257,1030,0,100,0,0,1130,1006,0.8902654867256637,265,607,41,296,651,812.0,0.2634194831013916,0.6033797216699801,0.040755467196819085,0.294234592445328,0.647117296222664,0.8071570576540755,257
100,Sri Krishna College of Engineering and Technology,Coimbatore,State,2025,14.0,404,1542,1362,1080,1140,0,0,60,60,60,60,60,0,39,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5523,3957,1414,5371,4831,532,8,1853,3187,672,559,322,3487,173,85,258,234,24,0,39,198,22.0,20,0,195,22,28,50,35,15,0,14,31,1,30,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5679,36,70,106,5124,300,99,0,0,5523,5679,1.0282455187398154,1527,571,8,1906,3416,1626.0,0.2688853671421025,0.10054587075189293,0.001408698714562423,0.33562246874449725,0.6015143511181547,0.28631801373481247,106
